table_number;table_name;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
5;COMPLEX;;;;Nederzettingstype;;;;Romeins villa(complex);Romeins villa(complex);NRV;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Stad;Stad;NS;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Terp/wierde;Terp/wierde;NT;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Wegdorp;Wegdorp;NWD;;;;;;;;2
5;COMPLEX;;;;;;;;Religie;Religie;;;;;;;;;0
5;COMPLEX;;;;Religie;;;;Cultusplaats/heiligdom/tempel;Cultusplaats/heiligdom/tempel;RCP;;;;;;;;3
5;COMPLEX;;;;Religie;;;;Kapel;Kapel;RKAP;;;;;;;;3
5;COMPLEX;;;;Religie;;;;Kerk;Kerk;RKER;;;;;;;;3
5;COMPLEX;;;;Religie;;;;Klooster(complex);Klooster(complex);RKLO;;;;;;;;3
5;COMPLEX;;;;Religie;;;;Religie, onbepaald;Religie, onbepaald;RX;;;;;;;;3
5;COMPLEX;;;;;;;;Versterking;Versterking;;;;;;;;;0
5;COMPLEX;;;;Versterking;;;;Kasteel;Kasteel;VK;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Landweer;Landweer;VLW;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Legerplaats;Legerplaats;VLP;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Motte/kasteelheuvel/vliedberg;Motte/kasteelheuvel/vliedberg;VKM;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Schans;Schans;VSCH;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Wachtpost;Wachtpost;VWP;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Wal-/vluchtburcht;Wal-/vluchtburcht;VWB;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Wal/omwalling;Wal/omwalling;VWAL;;;;;;;;2
5;COMPLEX;;;;Versterking;;;;Waterburcht;Waterburcht;VKW;;;;;;;;2
5;COMPLEX;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
6;CULTUUR;;;;;;;;Acheuleen;Acheuleen;ACH;;;;;;;;0
6;CULTUUR;;;;;;;;Ahrensburg-cultuur;Ahrensburg-cultuur;AHR;;;;;;;;0
