Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
6930474;Lunetten Utr.;Lunetten Utr.;Lunet III;5207128;513589;S;FT;NL;;9;344;;;0;;7;Europe/Amsterdam;14/04/2012
6930475;Maarsenveen;Maarsenveen;;521465;50641;S;FT;NL;;9;1904;;;0;;0;Europe/Amsterdam;14/04/2012
6930476;Tienhoven;Tienhoven;;5216182;503019;S;FT;NL;;9;1904;;;0;;1;Europe/Amsterdam;14/04/2012
6930477;Spion;Spion;;5220087;504281;S;FT;NL;;7;1696;;;0;;-1;Europe/Amsterdam;14/04/2012
6930478;Nieuwersluis;Nieuwersluis;Nieuwersluis Fort;5219659;500423;S;FT;NL;;9;1904;;;0;;5;Europe/Amsterdam;25/07/2019
6930516;PI4UTR;PI4UTR;;5212954;510246;S;STNR;NL;;9;344;;;0;;6;Europe/Amsterdam;04/06/2011
6930521;Everdingen;Everdingen;;5196199;517559;S;FT;NL;;3;216;;;0;;7;Europe/Amsterdam;14/04/2012
6930522;Spoel Aan 't;Spoel Aan 't;;5195918;51907;S;FT;NL;;3;216;;;0;;6;Europe/Amsterdam;14/04/2012
6930523;Spoordijk Werk a/d;Spoordijk Werk a/d;;5189575;511976;S;FT;NL;;3;1960;;;0;;4;Europe/Amsterdam;20/01/2019
6930524;Asperen;Asperen;;5187681;512096;S;FT;NL;;3;1960;;;0;;4;Europe/Amsterdam;20/01/2019
6930525;Nieuwe Steeg bij/de;Nieuwe Steeg bij/de;;5186571;512559;S;FT;NL;;3;1960;;;0;;8;Europe/Amsterdam;20/01/2019
6930526;Vuren;Vuren;;5182291;502955;S;FT;NL;;3;1960;;;0;;6;Europe/Amsterdam;20/01/2019
6930527;Loevenstein;Loevenstein;;5181631;502144;S;FT;NL;;3;297;;;0;;4;Europe/Amsterdam;14/04/2012
6930528;Brakel onder;Brakel onder;;5181108;506294;S;FT;NL;;3;297;;;0;;2;Europe/Amsterdam;14/04/2012
